Название университета + местоположение,Общее заключение по университету и финансированию,Наличие стипендий и финансирования (merit-based/need-based),Рейтинг,Локация,Процент принятия студентов (acceptance rate),Самые популярные специализации,Дедлайны подачи документов,Что необходимо подать? (ссылка + дополнительная информация),TOEFL/IELTS,SAT/ACT,GPA,Стоимость образования,Стоимость проживаня,Need-based scholarship (на основе финансов) ,Merit-based scholarship ,"% студентов, которые получают финансирование",Средняя сумма стипендии,Сбор за подачу документов + есть ли fee waiver,Контакты,Ссылки,,,,,,,,
Orange - RD with engineering,Blue - 50/50,Green - EA ,Pink - good but no major,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM UNIVERSITIES,"Университеты, которые входят в этот список очень селективные и конкурентные. Они принимают до 30% всех поступающих, поэтому в них достаточно трудно попасть, однако, они очень щедрые.",,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Notre Dame,"Нужно сдатьSAT на очень сильный балл, если хочешь получить стипендию

Need-based (покроет 100% твомх потребностей) STAMPS (tution and fees)",Да,#19 in National Universities (по рейтингу US News),"Саунт-Бенд, Индиана",19%,"https://www.nd.edu/academics/undergraduate-programs/
18%Business/Marketing
17%Social Sciences
13%Engineering
8%Biology
5%Computer and Information Sciences
5%Foreign Languages and Literature
5%Mathematics
5%Visual and Performing Arts",примерно 12% от всего student body,"1. Common or Coalition Application; The Notre Dame Writing Supplement via the Common Application or Coalition Application. 
2. Необязательно: Результаты ваших оценок ACT или SAT - Нотр-Дам является тестом-необязательно для циклов подачи заявок 2022 и 2023 годов. Студенты могут выбрать, включать или не включать результаты тестов при подаче своих заявлений. Узнайте больше о дополнительной программе тестирования.
3.Официальные результаты TOEFL, IELTS, DET или PTE Academic
4.Официальные транскрипты средней школы или запись об успеваемости в средней школе
5. Письмо с оценкой от учителя средней школы в основной учебной предметной области, который хорошо вас знает
6. Оценка консультанта (рекомендуется, не требуется)
7. Невозвращаемый вступительный взнос в размере 75 долларов США
8. Завершенная сертификация финансов плюс финансовая документация, подтверждающая итоговые данные по сертификации финансов, представленные через ваш портал статуса заявителя
9.Копия вашего паспорта, предоставленная через портал статуса заявителя
10. Если вы подаете заявку на получение необходимой финансовой помощи, заполненный CSS  Profile","TOEFL: 100+
IELTS: 7.5 
Duolingo English Test (DET): 120 ",Не обязательно на 2022-2023 Средний 1520 (у 75% процентов подающих),4.0,"$58,843","$16,304",Может покрыть 100% твоих потребностей,"STAMPS (покроет обучение, проживание и другие сборы и расходы) ",68%," $57,418",$75,https://www.nd.edu/about/contact/,"https://scholars.nd.edu/awards/list-of-awards/stamps-notre-dame-scholarship/

https://financialaid.nd.edu/apply-or-renew/international-students/ ",,,, ,CSS + дополнительные формы,$75,,
University of Richmond ,"Это очкень хороший вуз, который готов покрыть все рассходы 25 студентам - это очень хорошо. ","Да, Merit based",#22 in National Liberal Arts Colleges,"Ричмонд, Виргиния",28.00%,"Business/Marketing : 36.0%
Social Sciences : 16.0%
Biology : 9.0%
Interdisciplinary Studies : 7.0%
Psychology : 5.0%

https://www.richmond.edu/academics/majors/","https://www.richmond.edu/academics/majors/index.html - ALL MAJORS 

Economics (Arts & Sciences) - https://undergraduatecatalog.richmond.edu/curriculum/as-programs/department/economics.html 

Political Science - https://polisci.richmond.edu/ 

Sociology - https://socanth.richmond.edu/ ","Common Application 
Tests","TOEFL 80 - 100
IELTS 7.5
Duolingo 125",Не обязательно,3.25 - 3.49,"$56,860","$13,430     ",Не доступно,"Самые престижные академические награды университета, эти стипендии предоставляются 25 поступающим студентам и включают полное обучение плюс проживание и питание.",64%,"$41,609",$50 or  fee waiver,https://admissions.richmond.edu/contact/index.html,"https://scholars.richmond.edu/about/index.html 

The University's most prestigious academic awards, these scholarships are given to 25 incoming students and include full tuition plus room and board.

https://financialaid.richmond.edu/types-of-aid/merit-based/scholarships.html

https://admissions.richmond.edu/process/international/index.html#testscores",,,,,,,,
Georgetown University,Университет требует предоставить баллы за SAT. А так же можно получить стипендию только на основе потребностей (need based) ,"Дa, need - based",#24,Вашингтон Д.С.,15%,"33% Social Sciences 
26% Business/Marketing 
7% Interdisciplinary Studies
https://www.georgetown.edu/academics/areas-of-study/",,"1. Шаг первый – Заполните и отправьте заявку в Georgetown Application.. Заполнение этой формы займет у вас всего десять-пятнадцать минут.
2. В течение 24 часов после подачи заявки в Джорджтаун вы получите электронное письмо с инструкциями о том, как создать учетную запись для подачи заявки, чтобы вы могли начать работу над дополнением к заявке.

https://uadmissions.georgetown.edu/applying/international/#TestRequirements","""TOEFL
IELTS
Duolingo""","Требует SAT. 
Ср. балл - 1380-1550",3.89,"$56,058",$16K,"Поступившие студенты, которые запросили финансовую помощь и не являются гражданами или постоянными жителями США, будут рассматриваться на получение очень ограниченного числа стипендий на основе потребностей.",Не доступно,53%,43K,"$75, or a fee waiver",rubinr@georgetown.edu - Офис для иностранных студентов,"https://uadmissions.georgetown.edu/applying/first-year-application/
https://uadmissions.georgetown.edu/applying/international/#TestRequirements",,,,,,,,
University of Pennsylvania ,Это университет Лиги Плюща. Они принимают мало студентов и скорее всего потребуют SAT. Здесь можно получить только need-based стипендию. ,"Дa, need - based",#6,"Филадельфия, Пенсильвания",8.00%,"21% Business/Marketing
14% Social Sciences 
10% Biology 
10% Engineering 
10% Health Professions 
6% Computer and Information Sciences 
6% Philosophy and Religious Studies
https://catalog.upenn.edu/programs/",,"Common Application
https://admissions.upenn.edu/admissions-and-financial-aid
https://admissions.upenn.edu/admissions-and-financial-aid/apply-admission/first-year-admission/first-year-admission-checklist","""TOEFL
IELTS
Duolingo""","Не нужно было сдавать на 2021 год, про 2022 еще не известно

Ср. балл - 1470-1570",3.9,"$57,77",$16K,Пенн стремится на 100% удовлетворить ваши заявленные потребности с помощью грантов. Но она очень ограничена. В последние годы они предложили в среднем 45 премий за помощь поступившим международным первокурсникам.,Не доступно,58.%,$46K,$75,https://ask.admissions.upenn.edu/hc/en-us/requests/new,"https://admissions.upenn.edu/admissions-and-financial-aid/cost-and-financial-aid
https://admissions.upenn.edu/admissions-and-financial-aid/apply-for-admission",,,,,,,,
Rice University ,"Можно получить Need-based, merit-based стипендии. Это dream university, ведь они принимают всего 9% студентов, а также  у университета высокие требования к своим будущим студентам",Да,#16,"Хьюстон, Техас",9%,"18%Engineering 
13%Social Sciences 
10%Computer and Information Sciences 
8%Biology 
8%Parks And Recreation
7%Mathematics
6%Interdisciplinary Studies
5%Visual and Performing Arts
https://www.rice.edu/departments",,"1. Заявление Коалиции или онлайн-заявка на сайте Common Application и дополнительное эссе для вуза
2. невозвращаемый заявочный взнос в размере 75 долларов (должен быть оплачен онлайн)
3. Транскрипт
4. Рекомендательные Письма
5. Демонстрация владения английским языком
6. Финансовая Отчетность Иностранных Студентов
https://admission.rice.edu/apply/first-year-international-applicants",TOEFL 100 IELTS 7 Duolingo 120,"Не обязательно на 2022 год. 
Ср. балл - 1470-1570",4. 0,"$50,310","$21,000","Иностранные студенты, получающие финансовую помощь на основе потребностей, будут на 100% удовлетворены счет институциональной грантовой помощи.

Университет Райса предлагает финансовую помощь, основанную на потребностях, ограниченному числу иностранных абитуриентов, поступающих в осенний семестр. Университет Райса использует CSS Profile для иностранных студентов, подающих заявки на получение финансовой помощи.","Получатели стипендий, основанных на заслугах, как правило, отличаются академическим и личным достижениями. 
Например:

лидеры политических и общественных организаций 
победители математических/научных конкурсов
творческие и исполнительские деятели
предприниматели
ученые-спортсмены
выдающиеся писатели

Все поступившие кандидаты-первокурсники автоматически рассматриваются на получение стипендий, основанных на заслугах, так что никаких отдельных форм заявлений или собеседований не требуется. ",69%,40K,"$75
Нет возможности получить fee waiver","admission@rice.edu - приемная комиссия

Adria Baker
Офис для иностранных студентов:
abaker@rice.edu","https://financialaid.rice.edu/international
https://financialaid.rice.edu/calculate-my-cost - price net calculator
https://ga.rice.edu/undergraduate-students/academic-policies-procedures/admission/#text
https://admission.rice.edu/apply/first-year-international-applicants",,,,,,,,
Amherst College,"Очень щедрый вуз, который может покрыть до 100% вашего образования. Но поступить будет очень тяжело, колледж принимает только 11% от всех поступающих студентов","Дa, need - based",#20,"Амхерст, Массачусетс",11%,"20% Social Sciences 
13% Mathematics 
10% Biology 
8% Psychology 
7% Computer and Information Sciences 
7% Foreign Languages and Literature 
6% English 
5%Area and Ethnic Studies 5% History 
5% Visual and Performing Arts

https://www.amherst.edu/academiclife/departments",7:1 ratio,"1. Common Application 
2. Дополнительное эссе для вуза 
3. Транскрипт 
4. Невозвращаемый сбор за подачу заявки $65 или fee waiver
5. Рекомендация учителя (2)
6.Школьный отчет
7. Результаты тестов

https://www.amherst.edu/admission/apply/firstyear

https://www.amherst.edu/admission/apply/international","TOEFL 100
IELTS 7.5","Не обязательно.
Ср. балл - 1410-1550",4.0,"$75,800","$10,000","Удовлетворяют 100% продемонстрированных финансовых потребностей межународного студента, если он подался на финансовую помощь. ",Не доступно,66%,58K,$60 or fee waiver,"finaid@amherst.edu - Офис по финансовой помощи
admission@amherst.edu - приемная комиссия",https://www.amherst.edu/offices/financialaid,,,,,https://www.amherst.edu/admission/apply/international,admission@amherst.edu.,,
Washington University in St. Louis,Вуз может покрыть 100% твоих потребностей. Чтобы получить большую стипендию тебе нужно сдать SAT на высокий балл (этому вузу очень важны цифры). ,"Да, Need-based",#16 in National Universities (US News),"Сент-Луис, Миссури",14%,"https://admissions.wustl.edu/academics/majors-and-programs/

14%Engineering 
14%Social Sciences
12%Biology
11%Business/Marketing
8%Psychology
7%Computer and Information Sciences
7%Interdisciplinary Studies
6%Visual and Performing Arts","примерно 21,7% от всего student body","Интервью (регистрироваться как можно раньше, так как быстро заполняются) или Optional 90-second Video; можно подать InitialView Interview
Транскрипт 
Эссе
Внекласные активности
Тесты 
Портфолио
Common App and Coalition App. 
Языковой экзамен ","Минимумы не написаны, но принимают DET, TOEFL и IELTS. Ориентироваться стоит на 100+ TOEFL, 7.5+ IELTS, DET 120+","Не обязательноl на 2022, но лучше подать.
Средний балл по SAT: 1480-1560",4.17/4.0,"$57,750","$17,900","Студенты могут подаваться на need-based. Не сказано, как много они могут покрытьиностранным студентам","Danforth Scholars - могут покрыть 100% твоего обучения
The Annika Rodriguez Scholars Program - может покрыть 100% твоего обучения",54%,"$54,626",$75,admissions@wustl.edu - приемная комиссия,"https://admissions.wustl.edu/faqs/are-international-students-eligible-for-financial-aid/

https://admissions.wustl.edu/cost-aid/scholarships/signature-scholar-programs/danforth-scholars-program/  
 https://admissions.wustl.edu/cost-aid/scholarships/signature-scholar-programs/annika-rodriguez-scholars-program/ 

https://admissions.wustl.edu/how-to-apply/admission-requirements/",,,, ,Для Danforth Scholarship нужны доп эссе https://admissions.wustl.edu/cost-aid/scholarships/signature-scholar-programs/danforth-scholars-program/  ; Для The Annika Rodriguez Scholars Program доп эссе и доп рекоменлация; CSS + доп фин формы,$75,,
University of Rochester,"У вуза ограниченные ресурсы, но если иметь сильный профиль и показать себя, как сильного абитуриента можно получить щедрые need based и merit based стипендии",Да,#34,"Рочестер, Нью Йорк",29.00%,"15% Engineering 
14% Social Sciences 
13% Health Professions 
10% Biology 
8% Psychology 
7% Business/Marketing
7% Computer and Information Sciences 
7% Visual and Performing Arts        
5% Mathematics
https://www.rochester.edu/academics/",,"необходимые документы:

Заполненная заявка Сommon App
Транскрипт
Рекомендация учителя (требуется одна)
Школьный отчет/рекомендация консультанта
Отчет за середину года (при наличии)
Окончательный транскрипт (при наличии)

Дополнительные Материалы:
Регистрация на собеседование (настоятельно рекомендуется)
Официальные Результаты Тестов

https://admissions.rochester.edu/applying/international-students/","""TOEFL 100
IELTS 7.5
Duolingo 120""","Не обязательно на 2022 год. 
Ср. балл - 1310-1500",3.8,"$56,026",$20K,"Из-за ограниченных ресурсов лишь небольшое число международных абитуриентов будут иметь право на получение финансовой помощи от университета, основанной на потребностях","Все кандидаты, независимо от гражданства, рассматриваются на получение стипендий за заслуги. Для участия в конкурсе на получение стипендии за заслуги не требуется заполнять никаких дополнительных заявок. Но поскольку стипендии за заслуги присуждаются независимо от потребностей студента, вы все равно должны представить соответствующие документы вместе с заявлением, чтобы заполнить заявление на поступление.",88%,34K,$50,international@admissions.rochester.edu - Офис для иностранных студентов,"https://enrollment.rochester.edu/how-to-apply/
https://enrollment.rochester.edu/testing-policy/
https://admissions.rochester.edu/applying/international-students/
",,,,,,,,
