University	City	"World University 
Rankings"	"University 
Ranking"	Program	Requirements	IELTS/TOEFL	Deadline	LINK	Tuition fee	Scholarship	Contacts	Extra
Tsinghua University (THU)	Beijing	"
THE World University Rankings (2020) (No. 23)"	"QS World University 
Rankings (2020) (No. 16)"	"Engineering and Technology
Natural Sciences
Social Sciences and Management
Accounting and Finance
Arts and Humanities
Anatomy and physiology
Life Sciences"	"Degree/Diploma/Certificate
HSK certificate (if available)
Copy of the passport
Chinese visa and record of last entry and exit from China
Foreigner Medical Examination Form, which must be approved by the Chinese Embassy or Consulate.
4 photos of the same size as in the passport"	Ielts 6.5 (or above)	"1st round: 8:00 AM August 25, 2023—5:00 PM October 13, 2023
2nd round:8:00 AM October 14, 2023—5:00 PM November 30, 2023
3rd round:8:00 AM December 1, 2023—5:00 PM January 15, 2024"	"https://international.join-tsinghua.edu.cn/Admission1/Application_Procedures.htm

https://international.join-tsinghua.edu.cn/Admission1/Fees.htm"	"4380 $

3800 $

5800 $- 10200 $"	https://international.join-tsinghua.edu.cn/info/1053/1042.htm	"Tel: +86-10-62783100   Fax: +86-10-62770837
Email: admissions@tsinghua.edu.cn"	
Peking University (PKU)	Beijing		"QS World University
 Rankings (2020) (No. 17)"	"international relations
 linguistics
 history
 sociology
 philosophy
 ecology
 geology 
jurisprudence and law
 administration
 management"	"You should support all information provided by uploading relevant documents (in English or Chinese, or together with officially certified English/Chinese translations if the documents are not in English/Chinese), including:
transcript
certificate
testimonial
public examination results, etc.
to your application. You will be asked to present the original documents for verification if you are offered admission."	IELTS 6.0 or above		https://english.pku.edu.cn/students.html	4000$-6000$		"Fax
(+86) 010-6275-1240
Phone
(+86)-010-6275-1258
Email
gangaotai@pku.edu.cn"	
City U	Hong Kong 			"Engineering
Energy and Environment
Data Scince
Creative Media
Business 
Science
Law
Medicine"	"High school certificate/ Diploma
High school transcript of last 2 years
Public examination (predicted grades/ actual results if available)
Proof of English Proficiency (e.g. TOEFL/ IETLS)
You are required to provide a Statement of Purpose of around 400 – 500 words. You should also submit a Portfolio if you are applying to the School of Creative Media."	"Minimum total score of 79 IBT
IELTS Overall band score of 6.5 or above
SAT        Minimum score of 590 in Evidence-Based Reading and Writing in new SAT
ACT        Minimum score of 24 in both ACT English and ACT Reading (in one sitting)"		https://www.cityu.edu.hk/international/admissions	3850 $	https://www.cityu.edu.hk/international/fees-scholarships/scholarships	"(852) 3442 7373

(852) 3442 0299

overseas@cityu.edu.hk"	
University of Science and Technology of China	Hefei		#489 QS	"Finance 
Statistics 
Management Scince "	The admission decision is based on a comprehensive evaluation of applicants' academic performance (entrance examination or SAT/IB/GCE A-Level/ACT results), interview performance, qualifications, certificates and other related materials	-	October 20th, 2023--March 31st, 2024	https://ic.ustc.edu.cn/en/v7info.php?Nav_x=4	3800 $	https://ic.ustc.edu.cn/en/v7info.php?Nav_x=5	"Email: suzhoumaster@ustc.edu.cn

TEL: 86-512-65007205   "	
Beijing Normal University	Beijing	 THE #255	"QS
#272"	"School of International Chinese Language Education
College of Philosophy
School of History
Faculty of Education
School of Journalism and Communication
School of Chinese Language and Literature
School of Foreign Languages and Literature
School of International Chinese Language Education
"	"HSK Level 4 with a score of no less than 180; applying for other majors should provide certificates of HSK Level 5 with a score of no less than 180.
Excellent results from high school (high school diploma test scores, etc.)

Excellent results from national high school graduation examinations, or university entrance examinations.
SAT 1300+"	IELTS 6.0 or above	November 30, 2022 - March 15, 2023	https://english.bnu.edu.cn/	3500 $- 3700$	https://admission-is.bnu.edu.cn/english/admissionprogram/bachelordegreeprogram/admissionbrochure/index.html	"Tel: 0086-10-5880-5563

Email address: bk@bnu.edu.cn"	
Shanghai Jiao Tong University (SJTU)	Shanghai	THE #52	"QS
#51"	"Engineering
Sciences
Life Medical Sciences
Humanities and Social Sciences
"	"1. High school diploma and above.

2. Non-Chinese citizens who hold a foreign passport and comply with the relevant regulations set by the “Document No. 12 (2020) of Ministry of Education of the PRC "" and etc.

3. Physically and mentally healthy.

"	"IELTS 6.0 and above 
TOEFL IBT 80+"	February 15, 2024 ~ March 1, 2024 (Beijing Time, GMT+8)	https://isc.sjtu.edu.cn/EN/Default.aspx	3600 $	https://isc.sjtu.edu.cn/EN/content.aspx?info_lb=43&flag=2	"Tel: +86-21-63847078

Email: liuxue@shsmu.edu.cn "	
 Sun Yat-sen University (SYSU)	Guangzhou	"THE
#293"	"QS
#324"	"Econimics 
Chinese language and literature 
History 
Law  
Business administration
Journalism and Communication
Chemistry"	"Chinese language proficiency certificate,
 Personal statement,
Documents certifying the nationality of the applicant and his/her parents, 
Commitment letter,
 Recommendation letters, 
Proof of financial status
,High school graduation certificate"		 April 30th, 2024	https://iso.sysu.edu.cn/en/index.htm	3800 $- 7000$ 	https://apply.sysu.edu.cn/login	"Email: admissions@mail.sysu.edu.cn

Inquiry Tel: 0086（20）84110819"	
Harbin Institute of Technology	Harbin	"THE
#368"	QS#256	"School of Astronautics
School of Electronics and Information Engineering
School of Mechatronics Engineering
School of Materials Science and Engineering
School of Energy Science and Engineering
School of Electrical Engineering & Automation
Shool of Instrumentation Science and Engineering
School of Mathematics
School of Physics"	"Online application(http://studyathit.hit.edu.cn/);
Notarized High School Certificate in English or Chinese (If applicants are high school students, they should provide original notarized pre-graduation certificate in English or Chinese.);
Notarized high school transcript (Chinese or English);
Chinese-medium courses: HSK-4 or above (score: 210 or above, valid for two years), except Chinese Language and Literature;
Copy of Passport(Valid for one year at least) and photo(size: 3.5*4.9cm);
Foreigner Physical Examination Form"	"TOEFL 80 or above
/IELTS 5.5 or above;"		http://en.hit.edu.cn/admissions	2850$ -3700$ 	http://en.hit.edu.cn/admissions/undergraduate	"Tel: +86-451-86402455, +86-451-86412647，+86-451-86418461
E-mail: StudyatHIT@hit.edu.cn"	
Wuhan University (WHU)	Wuhan	THE2023#173	"QS
#195"	"Faculty of Humanities 
Faculty of Social Sciences
Faculty of Sciences
Faculty of Engineering
Faculty of Information Sciences
Faculty of Medical Sciences"	"Copy of the passport biographical page（be valid at least till December 2024） and copy of the visa issued by a Chinese embassy (if available)
High school graduation diploma or proof of impending graduation (in Chinese or English)
High school transcripts (in Chinese or English)
HSK report (Chinese-taught programs only)
Financial certification/bank statement (US$5,000 or above).
English language proficiency certificate, e.g. TOEFL/TOEFL Essential/IELTS/others. (English-taught programs only)
Candidates who have prior learning experiences in China should provide evidence of their academic performance from their previous institution(s). 
Physical examination report issued within six months (the original report must be submitted upon registration). 
An application fee of RMB800 / US$111 shall be paid within seven days of application through http://admission.whu.edu.cn for online payment. (non-refundable)
"	"TOEFL 80+,
 TOEFL Essential 8+ 
or IELTS 6.0+ "	 from Dec. 1，2023 to Jun.15，2024.	http://admission.whu.edu.cn/en/?c=index	2900$- 5900$	http://admission.whu.edu.cn/en/?c=content&a=list&catid=78	"E-mail: admissions@whu.edu.cn (only for applicants)  

Tel: 0086-27-68753912"	
Nankai University (NKU)	Tianjin	 THE2023#328	" QS
#385"	"School of Mathematical Sciences
School of Physics
College of Chemistry
College of Life Sciences
College of Environmental Science and Engineering
College of Computer and Control Engineering
College of Electronic Information and Optical Engineering
College of Software
School of Medicine
College of Pharmacy
TEDA Institute of Biological Sciences and Biotechnology
TEDA Applied Physics Institute
"	"1．Passport (and visa) page
2．Graduate/school leaving certificate and the transcripts of all grades/semesters of your higher secondary school (or equivalent level such as IB, A-Level, etc.)
3．Language credentials
4．Personal statement
5.  Curriculum Vitae
6．Certificate of no criminal conviction
7．Statement of financial support"							
