Unnamed: 0	Unnamed: 1	Unnamed: 2	Основное	Unnamed: 4	Финансовая Помощь	Сроки	Unnamed: 7	Unnamed: 8	Unnamed: 9	Требования	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Дополнительно	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20
	Университет	Город	"Стоимость обучения 
(USD/год)"	"Процент 
Поступления"	"Максимальная 
Финансовая помощь (USD)"	Дедлайн 1 раунда	Дедлайн 2 раунда	Дедлайн 3 раунда		TOEFL/IELTS	SAT	Эссе	Рекомендательные Письма	Стоимость Заявки	Ссылка на заполнение заявки	Сайт Университета	Сайт Финансовой Помощи	"Рейтинг по 
Стране"	"Рейтинг в 
Мире"	Профессии на англ. 
1.0	Seoul National University	Seoul	2000 - 4000 tuition + 1800 accomonodation	0.15	GKS scholarship	сентябрь 25	август			IELTS 6.0 TOEFL 88	Optional	  	One from school colselor or 2 from principal, math or physics teacher	70 USD	https://en.snu.ac.kr/admission/undergraduate/application	https://en.snu.ac.kr	https://en.snu.ac.kr/admission/undergraduate/scholarships/before_admission	1	60	Law
2.0	KAIST	Daejeon & Seoul	4,829 tuition fee + 1800 accomodation	0.22	full scholarship	2024-10-21 00:00:00	2024-01-13 00:00:00			IELTS 6.5 TOEFL 83	Нужно предоставить		Only one letter	80 USD	https://apply.kaist.ac.kr/InterApply/InterApply/Login	https://admission.kaist.ac.kr/intl-undergraduate/	https://admission.kaist.ac.kr/intl-undergraduate/scholarships/	2	96	Engineering & technology
3.0	Yonsei University (Underwood International College)	Seoul	10600 tuition fee	0.18	Tuition fee	авг.23 - окт.11.2024	Апрель 2025			IELTS (не уточнен) TOEFL(не уточнен)	Optional	Self-Introduction & Study plan	Two rec. letters from high school teachers	150 USD	https://uic.yonsei.ac.kr/main/admission.asp?mid=m04_02_01	https://uic.yonsei.ac.kr/main/main.asp	https://uic.yonsei.ac.kr/main/admission.asp?mid=m04_03_02	3	187	Medicine & Business administration
4.0	Korea University	Seoul	6700 - 8500 tuiton + 1800 accomodation	0.18	- 100% of entrance fee and tuition fee, Dormitory Fee	фев - март 2025	.,			IELTS 6 TOEFL 100	Optional	Self-Introduction & Study plan	One letter	127 USD	http://oia.korea.ac.kr/listener.do?layout=dgr_2_1	https://www.korea.edu/mbshome/mbs/en/index.do	http://oia.korea.ac.kr/listener.do?layout=dgr_6	4	167	Law & Economics
5.0	Sungkyunkwan University(SKKU)	Seoul	Administration fee - 110$ + 3740$-4860$(tuition fee)	0.17	"IELTS 8.0 / TOEFL iBT 110 or higher : 100% tuition waiver
‣IELTS 7.0 / TOEFL iBT 95 or higher : 50% tuition waiver
SKKU Global Leader Scholars         Samsung Global Sungkyun Scholarship for International Students"	24 февр-10 март , 2025	19 мая-2 июня , 2025			IELTS 5.5 TOEFL 71	Optional	Self-Introduction & Study plan		100 USD	https://admission-global.skku.edu/eng/etc/notice_Undergraduate.html	https://www.skku.edu/skku/index.do	https://admission-global.skku.edu/eng/undergraduate/fees.html	5	101	Global Business Administration, Global Economics, Global Biomedical Engineering
6.0	Pohang University	Seoul	2730$-2950$	0.15	"- Presidential Science Scholarship: Full tuition + living expenses (GPA ≥ 3.0) .  
 - National Scholarship Type I/II: Tiered support based on income (GPA ≥ 2.3) .  
 - JIgok Scholarship: Full tuition (GPA ≥ 3.0) "	26 сент - 3 ноябр 2025	(varies)			IELTS 6 TOEFL 80	Optional	Self-Introduction & Study plan		90 USD		https://international.postech.ac.kr		8	151	"Computer Science & Engineering  
Materials Science & Engineering  
Mechanical Engineering  
Chemical Engineering"
7.0	Hanyang University 	Seoul	5707$-8600$	0.04	"1.        Hanyang International Scholarship Program (HISP)
        •        Based on academic achievement.
        •        Tuition reduction: 100%, 70%, or 50%.
        •        Valid for 8 semesters (freshmen) or 4 semesters (transfer students).
        •        Must maintain a minimum GPA of 2.5 each semester.
        2.        Scholarship for Excellence in English Proficiency
        •        For applicants with TOEFL iBT ≥ 90 or IELTS ≥ 6.5.
        •        30% tuition reduction.
        •        Valid for the first semester only.
        3. Hanyang IIE Scholarship (for those who completed Korean language courses at IIE)
        •        Level 6: 100% tuition reduction.
        •        Level 5: 50% tuition reduction.
        •        Valid for the first semester only."	4 март - 21 апреля 				IELTS 6.5 TOEFL 89	Optional	Self-Introduction & Study plan		138 USD		https://www.hanyang.ac.kr/web/eng		6	351-400	"Business Administration

Economics 

International Studies 

Data Science"
8.0	Kyung Hee University	Seoul	3400$-5000$	40-54%	"- Admission Scholarship A: Full tuition (1st semester; top scorers per college).
- TOPIK Scholarships:
Level 6: Full tuition (1st semester).
Level 5: 50% tuition.
- Pioneer Scholarship: Full tuition (1 year; for students from underrepresented countries).
- Academic Encouragement Scholarship: Up to 3 million KRW/semester (GPA ≥ 3.0).
-SDGs Scholarship: Full tuition for 1 semester, extendable up to 1 year. For Global SDGs applicants ranked in the top 50%.
-Admission Scholarship G: Full tuition for 1 semester, renewable for up to 4 years (GPA ≥ 3.5). For top 50% applicants in engineering/software majors."	February 24 - March 7	April 21- May 9			IELTS 5.5 TOEFL 80	Optional	Self-Introduction & Study plan	Not neccessery	180 USD		https://www.khu.ac.kr/kor/user/main/view.do		7	251-300	"International Studies (English Track)
 Global Hospitality & Tourism Management
Asian Studies
Management (English Track)
Nuclear Engineering (English Track)
Civil Engineering (English Track)"
9.0	Ulsan National Institute of Science and Technology (UNIST)	Ulsan	1983$-2353$	0.71	UNIST Scholarship, GKS	янв 3- фев 2	март 11- апрель 5			IELTS 6.5 TOEFL 90	Optional	Personal Statement or Essay	Needed	60USD	[2024 Fall] Undergraduate Admission Guidelines for International Students | Undergraduate School Admissions (unist.ac.kr)	https://www.unist.ac.kr/		9	451-500	"Engineering
Information and Biotechnology
Business Administration
Liberal Arts
Natural Sciences 
"
10.0	Sejong University	Seoul	6000$-8300$ tuition 	0.4	"Up to 80% tuition reduction for students with minimum score of TOEFL IBT 80, 
IELTS 5.5, or New-TEPS 326
30% tuition reduction for students coming from a country with English as the native language"	с 6 марта по 27 марта	с 22 апреля по 13 мая			IELTS 5.5 TOEFL 80	Optional	Study plan	Rec. Letters	120 USD	Undergraduate School | SEJONG UNIVERSITY	http://en.sejong.ac.kr/eng/index.do		16	301-350	"Division of Global Leadership
Public Administration
Media and Communication
Faculty of Business Administration
Economics
Faculty of Hospitality, Tourism and Food Service Management
Computer Science and Engineering
Creative Studies
Music
"
11.0	Kyungpook National University	Seoul	1900-2800$	0.15	"TOPIK (TOPIK IBT) Level 3 Certificate: Scholarship for 16-20% of the Tuition Fee for the first semester.
 TOPIK (TOPIK IBT) Level 4 Certificate: Scholarship for 40-42% of the Tuition Fee for the first semester.
 TOPIK (TOPIK IBT) Level 5 Certificate: Scholarship for 80-84% of the Tuition Fee for the first semester.
TOPIK (TOPIK IBT) Level 6 Certificate: Scholarship for 100% of the Tuition Fee for the first semester."		Apr. 14 - May. 2			IELTS 5.5 TOEFL 80	Optional	Statement of Purpose & Study plan		60 USD		https://en.knu.ac.kr/main/main.htm		19	801-1000	"Agriculture & Life Sciences
Natural Sciences
Social Sciences
Science & Technology"
