Unnamed: 0	Institution name	City	State	Control	Type	Religious Affiliation	US News National Rank	US News LAC Rank	Undergraduate enrol ment	Percent of student body that is undergraduate	Total international undergraduates	Undergrad percent international students	International students receiving aid	Estimated cost of at endance (COA)	Types of aid available	Percent of int'l students receiving aid	Average award to international students	Award as percentage of total COA	COA after average award	Total aid in mil ions	Largest merit scholarship available to int'l students	Name of merit scholarship	Merit scholarship info	SAT EBRW 25%ile	SAT EBRW 75%ile	SAT Math 25th %ile	SAT Math 75th %ile	SAT 25%	SAT 75%	Nickname(s)/also called	Unnamed: 31	Overal ac eptance rate	ED2 deadline	Priority Deadline	Final ap lication deadline	Minimum TOEFL	TOEFL Notes	Final min IELTS	Motto
	"Название университета
"	Город, где находится университет	Штат (Аббревиатура штата)	Государственный или частный университет	Тип университета	Религиозное направление университета (если имеется)	Национальный рейтинг университета	Рейтинг в системе Liberal Arts Colleges	Количество поступивших бакалавров	Процент студентов, получающих степень бакалавра	Суммарное количество международных студентов, получающих степень бакалавра	Процент международных студентов-бакалавров	Количество иностранных студентов, получающих финансовую помощь	Примерная стоимость обучения	Типы доступной финансовой помощи	Процент  иностранных студентов, получающих финансовую помощь	Средняя финансовая помощь иностранным студентам	Процент финансовой помощи по отношению к стоимость обучения	Стоимость обучения после получения финансовой помощи	Суммарная финансовая помощь, оказываемая университетом (в милл. долл.)	Наибольшая финансовая помощь, доступная иностранным студентам на основе академических достижений	Название гранта(стипендии)	Информация по гранту на основе академических достижений	Результат за секцию Чтения и Письма SAT, который превышает результат 25% студентов университета	Результат за секцию Чтения и Письма SAT, который превышает результат 75% студентов университета	Результат за секцию Математики SAT, который превышает результат 25% студентов университета	Результат за секцию Математики SAT, который превышает результат 75% студентов университета	SAT 25%	SAT 75%	Сокращение университета/ общеизвестное имя		Общий процент принятых студентов	Крайний срок на вторую раннюю подачу	Крайний срок подачи на приоритетную подачу	Крайний срок подачи на обычную подачу	Минимальные баллы за TOEFL 	Особые требования/ заметки, касательно TOEFL	Минимальный общий балл за IELTS	Девиз
1.0	Amherst college	Amherst	MA	Private	LAC		-	2	1.836	1	1836	9.2%	147	$78,500	Need	87.0%	$62,022	0.79	$16,478	$9.1m				720	770	710	790	1430	1560	Amherst		12.8%			1-Jan				
2.0	Bard College	Annandale	NY	Private	LAC		-	56	1.93	0.85	151	7.8%	73	$78,000	Need	48.3%	$49,316	0.63	$28,684	$3.6m				630	710	590	690	1220	1400	Bard		58.2%			1-Jan	100		7	
3.0	Bates College	Lewiston	ME	Private	LAC		-	22	1.787	1	1787	7.4%	73	$78,500	Need	55.3%	$56,061	0.71	$22,439	$4.1m				640	730	630	720	1270	1450	Bates		21.9%	1-Jan		1-Jan		100 avg.		
4.0	Bennington College	Bennington	VT	Private	LAC		-	95	775	0.91	775	16.4%	94	$77,000	Both	74.0%	$48,264	0.63	$28,736	$4.5m	n/s	n/s	Info	620	710	590	680	1210	1390	Bennington		56.6%	 15-Jan		15-Jan	none	100 rec.		
5.0	Berea College	Berea	KY	Private	LAC		-	61	1.67	1	1670	7.3%	120	$42,300	Need	98.4%	$41,388	0.98	$912	$5.0m				480	590	490	610	970	1200	Berea 		35.1%			30-Apr	68		6	
6.0	Bryn Mawr College	Bryn Mawr	PA	Private	Women's		-	27	1.334	0.81	303	22.7%	116	$76,800	Need	38.3%	$55,060	0.72	$21,740	$6.4m				650	730	660	770	1310	1500	Bryn Mawr		38.0%	1-Jan		15-Jan	100		7	
7.0	Babson College	Babson Park	MA	Private	Comp.U		-	-	2.342	0.7	2342	27.8%	89	$75,500	Both	13.7%	$34,469	0.46	$41,031	$3.1m	Full tuition+stip	Weissman Scholarships	Info	610	680	620	720	1230	1400	Babson		24.2%		1-Nov	2-Jan		108 avg.		
8.0	Barnard college	New York	NY	Private	Women's		-	25	2.604	1	2604	9.1%	27	$78,800	Need	11.3%	$61,710	0.78	$17,090	$1.7m				660	760	650	740	1310	1500	Barnard		13.7%			1-Jan	100		7	
9.0	 Boston University	Boston	MA	Private	Research		42	-	18.08	0.54	18080	21.3%	199	$77,400	Merit	5.2%	$34,960	0.45	$42,440	$7.0m	Full tuition+fees	Trustee Scholarship	Info	640	720	660	760	1300	1480	BU		22.0%	2-Jan		2-Jan	90	20x4 rec., 105 avg.	7	
10.0	Bowdoin College	Brunswick	ME	Private	LAC		-	5	1.816	1	1816	5.0%	47	$76,000	Need	51.6%	$55,643	0.73	$20,357	$2.6m				650	750	640	760	1290	1510	Bowdoin		27.0%	1-Jan		1-Jan	100		7	
11.0	 Braindeis University	Waltham	MA	Private	Research	Hist. Jewish	35	-	3.635	0.64	3635	20.9%	66	$78,400	Need	8.7%	$51,777	0.66	$26,623	$3.4m	Full ride	Wien Scholarship Program	Info	630	710	650	760	1280	1470	Brandeis		34.2%	1-Jan		1-Jan		102 avg		
12.0	 Brigham Young University-Provo	Provo	UT	Private	Research	LDS [Mormon]	66	-	31.233	0.91	31233	3.2%	536	$23,000	Both	54.0%	$5,808	0.25	$17,192	$3.1m	150% of tuition	Russel M. Nelson Scholarship	Info	610	710	600	700	1210	1410	BYU		52.4%			15-Dec	80	20x4 req., 102 avg	6.5	
13.0	 Brown University	Providence	RI	Private	Research		14	-	6.988	0.69	6988	12.4%	160	$77,400	Need	18.4%	$55,679	0.72	$21,721	$8.9m				705	780	700	790	1405	1570	Brown		7.2%			1-Jan	100		8	
14.0	 Bucknell University	Lewisburg	PA	Private	LAC		-	36	3.611	0.98	3611	6.3%	108	$77,100	Both	47.4%	$43,835	0.57	$33,265	$4.7m	$30,000	Presidential Scholarship	Info	620	700	630	720	1250	1420	Bucknell		31.1%	15-Jan		15-Jan	100		7	
15.0	Carleton College	Northfield	MN	Private	LAC		-	5	2.078	1	2078	10.0%	67	$76,400	Need	32.4%	$44,258	0.58	$32,142	$3.0m				680	760	680	770	1360	1530	Carleton 		19.4%	15-Jan		15-Jan	100		7	
16.0	Can Poly San Luis Obispo	San Luis Obispo	CA	Public	STEM		-	-	21.297	0.96	21297	2.2%	26	$44,400	Merit	5.6%	$10,642	0.24	$33,758	$0.3m	n/s		Info	610	690	610	710	1220	1400	Cal Poly, Cal Poly-SLO		34.6%			30-Nov	80	107 avg.	6.5	
17.0	 California Instute of Tachnology	Pasadena	CA	Private	Research		12	-	961	0.43	961	8.5%	33	$74,700	Need	40.2%	$51,827	0.69	$22,873	$1.7m				750	790	780	800	1530	1590	Caltech		7.7%			3-Jan				
18.0	 Claremont McKenna College 	Claremont	CA	Private	LAC		-	9	1.338	0.99	224	16.7%	25	$79,000	Both	11.2%	$48,980	0.62	$30,020	$1.2m				660	740	680	770	1340	1510	Claremont McKenna, CMC		8.9%	1-Jan		5-Jan	100		7.5	
19.0	Clark University	Worcester	MA	Private	Research		66	-	2.24	0.71	2240	14.1%	230	$63,300	Both	73.0%	$23,562	0.37	$39,738	$5.4m				600	700	580	680	1180	1380	Clark		56.3%			15-Jan	80			
20.0	Colby College	Waterville	ME	Private	LAC		-	18	1.917	1	1917	10.3%	82	76.8	Need	41.4%	50.211	0.65	26.589	$4.1m				670	740	670	760	1340	1500	Colby		13.0%	1-Jan		1-Jan	100		7	
21.0	Colgate University 	Hamilton	NY	Private	LAC		-	16	2.873	1	2873	9.4%	152	77.5	Need+A	56.1%	59.551	0.77	17.949	$9.1m				660	730	650	770	1310	1500	Colgate		28.1%	15-Jan		15-Jan	none	100 rec.		
22.0	Colorado State University-Fort Collins	Fort Collins	CO	Public	Research		140	-	25.903	0.78	25903	3.9%	244	50.9	Both	23.9%	13.003	0.26	37.897	$3.2m				560	650	540	650	1100	1300	Colorado State, CSU		82.6%		1-Feb	1-Aug	79	90 avg.	6.5	
23.0	Colimbia University ( College  and SEAS)	New York	NY	Private	Research		3		6.231	0.19	6231	15.6%	257	80.9	Need	26.4%	66.35	0.82	14.55	$17.1m				720	780	730	800	1450	1580	Columbia, CC, SEAS		5.5%			1-Jan	100		7	
24.0	Connecticut College 	New London	CT	Private	LAC		-	46	1.817	1	1817	7.3%	84	77.4	Need	63.2%	48.846	0.63	28.554	$4.1m				640	710	630	690	1270	1400	Conn Colledge, Conn		38.0%	1-Jan		1-Jan	100		7	
25.0	Cooper Union	New York	NY	Private	STEM		-	-	867	0.92	867	20.0%	160	71.4	Both	92.5%	25.778	0.36	45.622	$4.1m				650	740	660	790	1310	1530	Cooper Union		13.1%	2-Dec		1-Jan	100			
26.0	 Cornell University	Ithaca	NY	Private	Research		16	-	14.907	0.65	14907	10.7%	189	77.2	Need	11.8%	59.69	0.77	17.51	$11.3m				690	760	700	790	1390	1550	Cornell		10.3%			2-Jan	100		7	
27.0	Dartmouth College	Hanover	NH	Private	Research		12	-	4.41	0.68	4410	9.2%	257	78.5	Need	63.5%	59.797	0.76	18.703	$15.4m				710	770	720	790	1430	1560	Dartmouth		8.7%			1-Jan				
28.0	Duke University	Durham	NC	Private	Research	Methodist	8	-	6.609	0.41	687	10.4%	207	78.3	Both	30.1%	61.497	0.79	16.803	$12.7m	Full Ride	Angier B. Duke Memorial Scholarship	Info	700	770	710	790	1410	1560	Duke		8.3%		20-Dec	3-Jan				
29.0	Davidson College	Davidson	SC	Private	LAC	Presbyterian	-	10	1.81	1	125	6.9%	60	70	Both	48.0%	49.057	0.7	20.943	$2.9m	Full Ride	John M. Belk Scholarship		660	740	650	730	1310	1470	Davidson		19.3%	2-Jan		2-Jan	100		7	
31.0	Denison University	Granville	OH	Private	LAC		-	43	2.341	1	2341	10.0%	225	72.8	Both	96.6%	27.639	0.38	45.161	$6.2m	Full Ride	https://denison.edu/campus/finances/types-of-scholarships-aid 		600	690	600	690	1200	1380	Denison		37.2%	15-Jan	15-Jan	15-Jan	80		6.5	
32.0	Dickinson College	Carlisle	PA	Private	LAC		-	51	2.382	1	2382	13.6%	211	76.2	Both	65.1%	36.361	0.48	39.839	$7.7m				620	700	610	720	1230	1420	Dickinson 		48.7%	15-Jan		15-Jan	90	104 avg.	7	
33.0	 Eastera Michigan University	Ypsilanti	MI	Public 	Comp.U		230+	-	16.997	0.84	16997	1.8%	192	49.1	Merit	62.1%	19.613	0.4	29.487	$3.8m	17.181	National Scholars Program	Info	495	595	510	600	1005	1195	EMU		72.9%			rolling	61		6	
34.0	 Emory University	Atlanta 	GA	Private	Research	Methodist	21	-	6.937	0.49	6937	16.9%	76	73.3	Both	6.5%	42.304	0.58	30.996	$3.2m	Full Ride			670	740	680	780	1350	1520	Emory		22.0%	1-Jan		1-Jan	100		7.5	
35.0	 Fairfield University	Fairfield	CT	Private	Comp.U	Catholic (Jesuit)	-	-	4.113	0.79	4113	3.0%	105	71.4	Both	86.1%	43.877	0.61	27.523	$4.6m				590	660	590	660	1180	1320	Fairfield		60.6%	15-Jan		15-Jan		93 avg.		
36.0	Georgetown University	Washington	DC	Private	Research	Catholic (Jesuit)	22	-	7.463	0.39	1032	13.8%	25	77.7	Need+A	2.4%	64.183	0.83	13.517	$1.6m				680	760	670	760	1350	1520	Georgetown		14.5%			10-Jan	                                     N/A			
37.0	 Gonzaga University	Spokane	WA	Private	Research	Catholic (Jesuit)	-	-	5.209	0.69	71	1.4%	60	62.9	Merit	84.5%	28.918	0.46	33.982	$1.7m	n/s		Info	590	670	590	680	1180	1350	Gonzaga		64.8%		15-Nov	1-Feb	80	93 avg.	6	
38.0	Grinnell College	Grinnell	IA	Private	LAC		-	11	1.712	1	1712	19.0%	207	73.1	Both	63.5%	37.362	0.51	35.738	$7.7m				640	740	670	770	1310	1510	Grinnell		28.9%	1-Jan		15-Jan	n/s	25%ile 104, 107 avg.	6.5	
39.0	Hamilton College	Clinton	NY	Private	LAC		-	16	1.897	1	1897	6.4%	62	76.2	Need	51.2%	52.411	0.69	23.789	$3.2m				680	750	680	760	1360	1510	Hamilton		24.2%	1-Jan		1-Jan	100			
40.0	Harvard University	Cambridge	    MA 	Private	Research		2	                  -	6.766	0.67	6766	11.5%	594	$75,600	    Need	0.765	$64,459	0.85	$11,141	$38.3m				730	790	730	800	1460	1590	Harvard,Hahvahd		4.6%			1-Jan	N/R		N/R	
41.0	Haverford College	Haverford	    PA	Private	LAC		                  -	11	1.296	1	1296	9.3%	25	$79,000	    Need	      20.7%	$61,506	0.78	$17,494	$1.5m				700	760	690	770	1390	1530	Haverford		20.1%	1-Jan		15-Jan	100		7	
42.0	 IOWA Strate University 	Ames	    IA	Public	Research		119	                  -	30.406	0.84	2131	7.0%	391	$41,000	    Merit	18.3%	$6,386	0.16	$34,614	$2.5m				520	647	545	680	1065	1327	Iowa State		89.3%		1-Mar	rolling	71	17S17R req.	6	
